[2025-06-12T07:09:01.220Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:09:17.995Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:13:29.224Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:13:40.756Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:13:54.980Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:14:14.973Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:14:23.413Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:14:46.968Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:15:09.549Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:15:27.004Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:24:41.668Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:24:41.668Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:24:42.830Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:24:42.830Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:25:03.940Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:25:16.280Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:27:44.270Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:27:44.272Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:28:09.970Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:28:13.438Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:28:33.312Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:28:33.321Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:28:53.134Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:28:53.139Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:30:04.966Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:30:04.971Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:30:24.644Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:30:32.128Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T07:30:32.137Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T09:23:27.246Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T09:32:59.352Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T10:11:31.306Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T10:51:03.402Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T10:51:18.608Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T10:51:29.405Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-12T10:51:38.475Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T06:59:12.660Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:04:13.779Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:04:50.053Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:05:34.422Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:29:47.172Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:31:18.655Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:31:33.769Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:31:40.069Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:31:44.591Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:33:14.134Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:33:41.724Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:36:56.308Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:37:15.381Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:37:32.661Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:38:06.259Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:38:20.298Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:38:27.401Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:38:34.424Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:39:54.320Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T07:44:17.394Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:08:16.664Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:08:30.234Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:12:59.296Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:13:05.320Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:13:51.250Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:19:43.925Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:20:14.212Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:20:48.514Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:21:00.292Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:21:39.794Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:22:17.257Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:22:36.836Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:22:48.388Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:23:41.257Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:23:46.718Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:23:52.208Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:33:38.172Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:41:07.174Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:41:14.741Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:41:23.832Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:48:46.908Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:50:04.321Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:50:26.414Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:58:32.968Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-13T08:58:44.576Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'C:\Users\melvi\Documents\GitHub\Krypto-Valuta-Server\blockchain.json'
[2025-06-17T10:57:37.829Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'blockchain.json'
[2025-06-17T11:13:09.571Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'blockchain.json'
[2025-06-17T11:13:23.832Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'blockchain.json'
[2025-06-17T11:13:33.401Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'blockchain.json'
[2025-06-17T11:18:05.436Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'blockchain.json'
[2025-06-17T11:18:41.128Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'blockchain.json'
[2025-06-17T11:18:47.842Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'blockchain.json'
[2025-06-17T11:20:08.373Z] Could not read blockchain.json - ENOENT: no such file or directory, open 'blockchain.json'
